[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[info] compiling 1 Scala source to /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/core/target/scala-3.8.4/classes ...
[info] done compiling
  [relaxed maxSize=24] 3751s  dsets=1546939 (412/s)  distinct=1359
  [relaxed maxSize=24] 3766s  dsets=1547004 (410/s)  distinct=1359
  [relaxed maxSize=24] 3781s  dsets=1547031 (409/s)  distinct=1359
  [relaxed maxSize=24] 3796s  dsets=1547031 (407/s)  distinct=1359
  [relaxed maxSize=24] 3811s  dsets=1547068 (405/s)  distinct=1359
  [relaxed maxSize=24] 3826s  dsets=1547107 (404/s)  distinct=1359
  [relaxed maxSize=24] 3841s  dsets=1547193 (402/s)  distinct=1362
  [relaxed maxSize=24] 3856s  dsets=1547220 (401/s)  distinct=1362
  [relaxed maxSize=24] 3871s  dsets=1547271 (399/s)  distinct=1362
  [relaxed maxSize=24] 3886s  dsets=1547283 (398/s)  distinct=1362
  [relaxed maxSize=24] 3901s  dsets=1547320 (396/s)  distinct=1362
  [relaxed maxSize=24] 3916s  dsets=1547633 (395/s)  distinct=1362
  [relaxed maxSize=24] 3931s  dsets=1547870 (393/s)  distinct=1363
  [relaxed maxSize=24] 3946s  dsets=1547883 (392/s)  distinct=1363
  [relaxed maxSize=24] 3961s  dsets=1547936 (390/s)  distinct=1363
  [relaxed maxSize=24] 3977s  dsets=1547949 (389/s)  distinct=1363
  [relaxed maxSize=24] 3992s  dsets=1547960 (387/s)  distinct=1363
  [relaxed maxSize=24] 4007s  dsets=1548104 (386/s)  distinct=1363
  [relaxed maxSize=24] 4022s  dsets=1548361 (385/s)  distinct=1363
  [relaxed maxSize=24] 4037s  dsets=1548604 (383/s)  distinct=1363
  [relaxed maxSize=24] 4052s  dsets=1548700 (382/s)  distinct=1363
