[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[warn] Getting the hostname MacBook-Pro-di-Mario.local was slow (5002.237045 ms). This is likely because the computer's hostname is not set. You can set the hostname with the command: scutil --set HostName "$(scutil --get LocalHostName).local".
  [relaxed maxSize=24] 3933s  dsets=1455139 (370/s)  distinct=14901
  [relaxed maxSize=24] 3948s  dsets=1456019 (368/s)  distinct=14945
  [relaxed maxSize=24] 3963s  dsets=1457501 (367/s)  distinct=14960
  [relaxed maxSize=24] 3978s  dsets=1461175 (367/s)  distinct=15020
  [relaxed maxSize=24] 3993s  dsets=1467371 (367/s)  distinct=15155
  [relaxed maxSize=24] 4008s  dsets=1476434 (368/s)  distinct=15503
  [relaxed maxSize=24] 4023s  dsets=1481039 (368/s)  distinct=15917
  [relaxed maxSize=24] 4038s  dsets=1482789 (367/s)  distinct=15995
  [relaxed maxSize=24] 4053s  dsets=1483526 (366/s)  distinct=15999
  [relaxed maxSize=24] 4068s  dsets=1484455 (364/s)  distinct=16021
  [relaxed maxSize=24] 4083s  dsets=1486043 (363/s)  distinct=16041
  [relaxed maxSize=24] 4098s  dsets=1486580 (362/s)  distinct=16061
  [relaxed maxSize=24] 4113s  dsets=1487528 (361/s)  distinct=16071
  [relaxed maxSize=24] 4128s  dsets=1487731 (360/s)  distinct=16076
  [relaxed maxSize=24] 4143s  dsets=1488439 (359/s)  distinct=16085
  [relaxed maxSize=24] 4158s  dsets=1489381 (358/s)  distinct=16106
  [relaxed maxSize=24] 4173s  dsets=1490040 (357/s)  distinct=16118
  [relaxed maxSize=24] 4188s  dsets=1491337 (356/s)  distinct=16140
  [relaxed maxSize=24] 4203s  dsets=1492501 (355/s)  distinct=16153
  [relaxed maxSize=24] 4218s  dsets=1493369 (354/s)  distinct=16202
  [relaxed maxSize=24] 4233s  dsets=1496731 (353/s)  distinct=16486
  [relaxed maxSize=24] 4248s  dsets=1497066 (352/s)  distinct=16518
  [relaxed maxSize=24] 4263s  dsets=1497649 (351/s)  distinct=16532
  [relaxed maxSize=24] 4278s  dsets=1497911 (350/s)  distinct=16535
  [relaxed maxSize=24] 4293s  dsets=1498685 (349/s)  distinct=16535
  [relaxed maxSize=24] 4308s  dsets=1499782 (348/s)  distinct=16697
  [relaxed maxSize=24] 4323s  dsets=1500070 (347/s)  distinct=16705
  [relaxed maxSize=24] 4338s  dsets=1500644 (345/s)  distinct=16771
  [relaxed maxSize=24] 4353s  dsets=1501230 (344/s)  distinct=16796
  [relaxed maxSize=24] 4368s  dsets=1501428 (343/s)  distinct=16801
  [relaxed maxSize=24] 4383s  dsets=1502786 (342/s)  distinct=17020
  [relaxed maxSize=24] 4398s  dsets=1503271 (341/s)  distinct=17095
  [relaxed maxSize=24] 4413s  dsets=1503454 (340/s)  distinct=17108
  [relaxed maxSize=24] 4428s  dsets=1503830 (339/s)  distinct=17111
  [relaxed maxSize=24] 4443s  dsets=1504416 (338/s)  distinct=17118
  [relaxed maxSize=24] 4458s  dsets=1505419 (337/s)  distinct=17129
  [relaxed maxSize=24] 4473s  dsets=1508117 (337/s)  distinct=17262
  [relaxed maxSize=24] 4488s  dsets=1510385 (336/s)  distinct=17307
  [relaxed maxSize=24] 4503s  dsets=1512445 (335/s)  distinct=17345
  [relaxed maxSize=24] 4518s  dsets=1513238 (334/s)  distinct=17370
  [relaxed maxSize=24] 4533s  dsets=1514726 (334/s)  distinct=17505
  [relaxed maxSize=24] 4548s  dsets=1515424 (333/s)  distinct=17508
  [relaxed maxSize=24] 4563s  dsets=1516624 (332/s)  distinct=17508
  [relaxed maxSize=24] 4578s  dsets=1517216 (331/s)  distinct=17508
  [relaxed maxSize=24] 4593s  dsets=1517899 (330/s)  distinct=17745
  [relaxed maxSize=24] 4608s  dsets=1519754 (329/s)  distinct=17748
  [relaxed maxSize=24] 4623s  dsets=1521550 (329/s)  distinct=17815
  [relaxed maxSize=24] 4638s  dsets=1522588 (328/s)  distinct=17841
  [relaxed maxSize=24] 4653s  dsets=1523030 (327/s)  distinct=17899
  [relaxed maxSize=24] 4668s  dsets=1523773 (326/s)  distinct=17900
  [relaxed maxSize=24] 4683s  dsets=1523896 (325/s)  distinct=17900
  [relaxed maxSize=24] 4698s  dsets=1524483 (324/s)  distinct=17900
  [relaxed maxSize=24] 4713s  dsets=1525192 (323/s)  distinct=17901
  [relaxed maxSize=24] 4728s  dsets=1526074 (322/s)  distinct=17901
  [relaxed maxSize=24] 4743s  dsets=1527359 (322/s)  distinct=17901
